Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
abind,D:/software/R/R-3.6.3/library,1.4-5,NA,R (>= 1.5.0),"methods, utils",NA,NA,NA,LGPL (>= 2),NA,NA,NA,NA,no,3.6.0
acepack,D:/software/R/R-3.6.3/library,1.4.1,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.3
actuar,D:/software/R/R-3.6.3/library,2.3-3,NA,R (>= 3.3.0),"stats, graphics, expint",expint,MASS,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
ada,D:/software/R/R-3.6.3/library,2.0-5,NA,"R(>= 2.10),rpart",NA,NA,NA,NA,GPL,NA,NA,NA,NA,no,3.6.3
adabag,D:/software/R/R-3.6.3/library,4.2,NA,"rpart, caret, foreach, doParallel",NA,NA,mlbench,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
ade4,D:/software/R/R-3.6.3/library,1.7-15,NA,R (>= 2.10),"graphics, grDevices, methods, stats, utils, MASS, pixmap, sp",NA,"ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, spdep, splancs, waveslim",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
ade4TkGUI,D:/software/R/R-3.6.3/library,0.3-0,NA,"ade4 (>= 1.4-3), adegraphics","graphics, grDevices, lattice, stats, tcltk, tkrplot, utils",NA,pixmap,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
adegraphics,D:/software/R/R-3.6.3/library,1.0-15,NA,R (>= 3.0.2),"ade4 (>= 1.7-13), graphics, grid, KernSmooth, lattice,
latticeExtra, methods, RColorBrewer, sp (>= 1.1-1), stats",NA,"Guerry, knitr, maptools, pixmap, rmarkdown, spdep, splancs",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
adehabitatLT,D:/software/R/R-3.6.3/library,0.3.25,NA,"R (>= 2.10.0), sp, methods, ade4, adehabitatMA, CircStats,
stats","graphics, grDevices, utils",NA,"maptools, tkrplot, MASS",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
adehabitatMA,D:/software/R/R-3.6.3/library,0.3.14,NA,"R (>= 2.10.0), sp, methods","utils, graphics, grDevices, stats, filehash",NA,"maptools, tkrplot, MASS",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
adephylo,D:/software/R/R-3.6.3/library,1.1-11,NA,"methods, ade4 (>= 1.7-10)","phylobase, ape, adegenet",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
