Year,Name,Revenue,Rank
1956,Ford Motor,5594,21
1957,Ford Motor,4647,12
1958,Ford Motor,5771.3,12
1959,Ford Motor,4130.3,11
1960,Ford Motor,5356.9,10
1961,Ford Motor,5237.9,9
1962,Ford Motor,6709.4,9
1963,Ford Motor,8089.6,8
1964,Ford Motor,8742.5,10
1965,Ford Motor,9670.8,9
1966,Ford Motor,11536.8,10
1967,Ford Motor,12240,8
1968,Ford Motor,10515.7,7
1969,Ford Motor,14075.1,7
1970,Ford Motor,14755.6,7
1971,Ford Motor,14979.9,5
1972,Ford Motor,16433,4
1973,Ford Motor,20194.4,4
1974,Ford Motor,23015.1,4
1975,Ford Motor,23620.6,4
1976,Ford Motor,24009.1,4
1977,Ford Motor,28839.6,4
1978,Ford Motor,37841.5,2
1979,Ford Motor,42784.1,2
1980,Ford Motor,43513.7,2
1981,Ford Motor,37085.5,2
1982,Ford Motor,38247.1,2
1983,Ford Motor,37067.2,2
1984,Ford Motor,44454.6,3
1985,Ford Motor,52366.4,3
1986,Ford Motor,52774.4,3
1987,Ford Motor,62715.8,2
1988,Ford Motor,71643,2
1989,Ford Motor,92446,3
1990,Ford Motor,96932.6,3
1991,Ford Motor,98274.7,4
1992,Ford Motor,88962.8,4
1993,Ford Motor,100785.6,4
1994,Ford Motor,108521,5
1995,Ford Motor,128439,6
1996,Ford Motor,137137,6
1997,Ford Motor,146991,4
1998,Ford Motor,153627,3
1999,Ford Motor,144416,3
2000,Ford Motor,162558,3
2001,Ford Motor,180598,4
2002,Ford Motor,162412,3
2003,Ford Motor,163630,3
2004,Ford Motor,164496,3
2005,Ford Motor,172233,3
2006,Ford Motor,177210,3
2007,Ford Motor,160126,3
2008,Ford Motor,172468,3
2009,Ford Motor,146277,3
2010,Ford Motor,118308,2
2011,Ford Motor,128954,2
2012,Ford Motor,136264,3
2013,Ford Motor,134252,3
2014,Ford Motor,146917,3
2015,Ford Motor,148237,3
2016,Ford Motor,149558,3
2017,Ford Motor,151800,3
2018,Ford Motor,156776,3
2019,Ford Motor,160338,3
2020,Ford Motor,155900,3
2021,Ford Motor,127144,3
