Year,Name,Revenue,Rank
2021,Walmart,559151,1
2021,Amazon,386064,2
2021,Apple,274515,3
2021,CVS,268706,4
2021,UnitedHealth Group,257141,5
2021,Berkshire Hathaway,245510,6
2021,McKesson,231051,7
2021,AmerisourceBergen,189893.9,8
2021,Alphabet,182527,9
2021,Exxon Mobil,181502,10
2021,AT&T,171760,11
2021,Costco,166761,12
2021,Cigna,160401,13
2021,Cardinal Health,152922,14
2021,Microsoft,143015,15
2021,Walgreens,139537,16
2021,Kroger,132498,17
2021,Home Depot,132110,18
2021,J.P. Morgan,129503,19
2021,Verizon,128292,20
2021,Ford Motor,127144,21
2021,General Motors,122485,22
2021,Anthem,121867,23
2021,Centene,111115,24
2021,Fannie Mae,106437,25
2021,Comcast,103564,26
2021,Chevron,94692,27
2021,Dell,94224,28
2021,Bank of America,93753,29
2021,Target,93561,30
2021,Lowe's,89597,31
2021,Marathon,88952,32
2021,Citigroup,88839,33
2021,Facebook,85965,34
2021,United Parcel Service,84628,35
2021,Johnson & Johnson,82584,36
2021,Wells Fargo,80303,37
2021,General Electric,79619,38
2021,State Farm Insurance,78898,39
2021,Intel,77867,40
2021,Humana,77155,41
2021,IBM,73620,42
2021,Procter & Gamble,70950,43
2021,PepsiCo,70372,44
2021,FedEx,69217,45
2021,MetLife,67842,46
2021,Freddie Mac,66228,47
2021,Phillips 66,65494,48
2021,Lockheed Martin,65398,49
2021,Walt Disney,65388,50
2021,Archer Daniels Midland,64355,51
2021,Albertsons,62455.1,52
2021,Valero Energy,60115,53
2021,Boeing,58158,54
2021,Prudential Financial,57033,55
2021,Hewlett-Packard,56639,56
2021,Raytheon,56587,57
2021,StoneX,54139.6,58
2021,Goldman Sachs Group,53498,59
2021,Sysco,52893.3,60
2021,Morgan Stanley,52047,61
2021,HCA,51533,62
2021,Cisco Systems,49301,63
2021,Charter,48097,64
2021,Merck,47994,65
2021,Best Buy,47262,66
2021,New York Life Insurance,46712.4,67
2021,AbbVie,45804,68
2021,Publix Super Markets,45204,69
2021,Allstate,44791,70
2021,Liberty Mutual,43796,71
2021,AIG,43736,72
2021,Tyson Foods,43185,73
2021,Progressive,42658.1,74
2021,Bristol-Myers Squibb,42518,75
2021,Nationwide,41929.8,76
2021,Pfizer,41908,77
