Year,Name,Revenue
1995,Walmart,83412.4
1996,Walmart,93627
1997,Walmart,106147
1998,Walmart,119299
1999,Walmart,139208
2000,Walmart,166809
2001,Walmart,193295
2002,Walmart,219812
2003,Walmart,246525
2004,Walmart,258681
2005,Walmart,288189
2006,Walmart,315654
2007,Walmart,351139
2008,Walmart,378799
2009,Walmart,405607
2010,Walmart,408214
2011,Walmart,421849
2012,Walmart,446950
2013,Walmart,469162
2014,Walmart,476294
2015,Walmart,479212
2016,Walmart,482130
2017,Walmart,485873
2018,Walmart,500343
2019,Walmart,514405
2020,Walmart,523964
2021,Walmart,559151
